Week,y
2011-01-24,64380
2011-01-31,196230
2011-02-07,193715
2011-02-14,172328
2011-02-21,166645
2011-02-28,179283
2011-03-07,181714
2011-03-14,177597
2011-03-21,164513
2011-03-28,176545
2011-04-04,182025
2011-04-11,176125
2011-04-18,159691
2011-04-25,154072
2011-05-02,165448
2011-05-09,177537
2011-05-16,154287
2011-05-23,151152
2011-05-30,176634
2011-06-06,188462
2011-06-13,177514
2011-06-20,169040
2011-06-27,177030
2011-07-04,194662
2011-07-11,186668
2011-07-18,177274
2011-07-25,168009
2011-08-01,193591
2011-08-08,197309
2011-08-15,194069
2011-08-22,176567
2011-08-29,180622
2011-09-05,200693
2011-09-12,191793
2011-09-19,183097
2011-09-26,198162
2011-10-03,210403
2011-10-10,214796
2011-10-17,189794
2011-10-24,184029
2011-10-31,204814
2011-11-07,205730
2011-11-14,193321
2011-11-21,176866
2011-11-28,194253
2011-12-05,208254
2011-12-12,207633
2011-12-19,172791
2011-12-26,191225
2012-01-02,220394
2012-01-09,211342
2012-01-16,200486
2012-01-23,189034
2012-01-30,226986
2012-02-06,230819
2012-02-13,209412
2012-02-20,204654
2012-02-27,220850
2012-03-05,235095
2012-03-12,226743
2012-03-19,210949
2012-03-26,209471
2012-04-02,243471
2012-04-09,228127
2012-04-16,204877
2012-04-23,201244
2012-04-30,233506
2012-05-07,229733
2012-05-14,229095
2012-05-21,214782
2012-05-28,246368
2012-06-04,258576
2012-06-11,266697
2012-06-18,245295
2012-06-25,237358
2012-07-02,266563
2012-07-09,257125
2012-07-16,238116
2012-07-23,219810
2012-07-30,251490
2012-08-06,263071
2012-08-13,260586
2012-08-20,234119
2012-08-27,239427
2012-09-03,265475
2012-09-10,253106
2012-09-17,233643
2012-09-24,224691
2012-10-01,253466
2012-10-08,245567
2012-10-15,218212
2012-10-22,208427
2012-10-29,234825
2012-11-05,246134
2012-11-12,228702
2012-11-19,202892
2012-11-26,212203
2012-12-03,244157
2012-12-10,235419
2012-12-17,235783
2012-12-24,196621
2012-12-31,248571
2013-01-07,244623
2013-01-14,230807
2013-01-21,215976
2013-01-28,235285
2013-02-04,247569
2013-02-11,269588
2013-02-18,244231
2013-02-25,255076
2013-03-04,252140
2013-03-11,258928
2013-03-18,233896
2013-03-25,235136
2013-04-01,268253
2013-04-08,256617
2013-04-15,236047
2013-04-22,217530
2013-04-29,239653
2013-05-06,247597
2013-05-13,252227
2013-05-20,234042
2013-05-27,249063
2013-06-03,273544
2013-06-10,265290
2013-06-17,250390
2013-06-24,254059
2013-07-01,284003
2013-07-08,278789
2013-07-15,257709
2013-07-22,245786
2013-07-29,263696
2013-08-05,278939
2013-08-12,272622
2013-08-19,261814
2013-08-26,265663
2013-09-02,291648
2013-09-09,288497
2013-09-16,259942
2013-09-23,248794
2013-09-30,276737
2013-10-07,271329
2013-10-14,252996
2013-10-21,236597
2013-10-28,254950
2013-11-04,257124
2013-11-11,250345
2013-11-18,228602
2013-11-25,211722
2013-12-02,263554
2013-12-09,248443
2013-12-16,234427
2013-12-23,202819
2013-12-30,252390
2014-01-06,256956
2014-01-13,245606
2014-01-20,226615
2014-01-27,231779
2014-02-03,261339
2014-02-10,263608
2014-02-17,244622
2014-02-24,243234
2014-03-03,259646
2014-03-10,267129
2014-03-17,239186
2014-03-24,234800
2014-03-31,265934
2014-04-07,270766
2014-04-14,265226
2014-04-21,242777
2014-04-28,254747
2014-05-05,250782
2014-05-12,255733
2014-05-19,229485
2014-05-26,237203
2014-06-02,271306
2014-06-09,267469
2014-06-16,257010
2014-06-23,236195
2014-06-30,280950
2014-07-07,278100
2014-07-14,259155
2014-07-21,241497
2014-07-28,263223
2014-08-04,268648
2014-08-11,271235
2014-08-18,260816
2014-08-25,245691
2014-09-01,274371
2014-09-08,267704
2014-09-15,248554
2014-09-22,236322
2014-09-29,267710
2014-10-06,264090
2014-10-13,250778
2014-10-20,231772
2014-10-27,240512
2014-11-03,261019
2014-11-10,248876
2014-11-17,232014
2014-11-24,218848
2014-12-01,252300
2014-12-08,239338
2014-12-15,233325
2014-12-22,195632
2014-12-29,239674
2015-01-05,248964
2015-01-12,250802
2015-01-19,233704
2015-01-26,243213
2015-02-02,278414
2015-02-09,271462
2015-02-16,244144
2015-02-23,242658
2015-03-02,261923
2015-03-09,266820
2015-03-16,245218
2015-03-23,237725
2015-03-30,265895
2015-04-06,268017
2015-04-13,254146
2015-04-20,245812
2015-04-27,259544
2015-05-04,264598
2015-05-11,264557
2015-05-18,240394
2015-05-25,246335
2015-06-01,284812
2015-06-08,282983
2015-06-15,268678
2015-06-22,253019
2015-06-29,281203
2015-07-06,290046
2015-07-13,286753
2015-07-20,264513
2015-07-27,276430
2015-08-03,299194
2015-08-10,287917
2015-08-17,270219
2015-08-24,260435
2015-08-31,282054
2015-09-07,297455
2015-09-14,280086
2015-09-21,269056
2015-09-28,285782
2015-10-05,297121
2015-10-12,283721
2015-10-19,262793
2015-10-26,262161
2015-11-02,276604
2015-11-09,270161
2015-11-16,255509
2015-11-23,232692
2015-11-30,272222
2015-12-07,261621
2015-12-14,264484
2015-12-21,220882
2015-12-28,260771
2016-01-04,279813
2016-01-11,279664
2016-01-18,267857
2016-01-25,266224
2016-02-01,293532
2016-02-08,305528
2016-02-15,300165
2016-02-22,276443
2016-02-29,302577
2016-03-07,298607
2016-03-14,287425
2016-03-21,287458
2016-03-28,291571
2016-04-04,310767
2016-04-11,296009
2016-04-18,285279
2016-04-25,289814
2016-05-02,311512
2016-05-09,326832
2016-05-16,303606
