Week,y
2015-07-05,61
2015-07-12,119
2015-07-19,85
2015-07-26,95
2015-08-02,115
2015-08-09,61
2015-08-16,58
2015-08-23,83
2015-08-30,96
2015-09-06,76
2015-09-13,53
2015-09-20,85
2015-09-27,71
2015-10-04,81
2015-10-11,236
2015-10-18,91
2015-10-25,70
2015-11-01,82
2015-11-08,69
2015-11-15,102
2015-11-22,177
2015-11-29,179
2015-12-06,230
2015-12-13,155
2015-12-20,151
2015-12-27,225
2016-01-03,99
2016-01-10,140
2016-01-17,134
2016-01-24,166
2016-01-31,98
2016-02-07,109
2016-02-14,123
2016-02-21,91
2016-02-28,107
2016-03-06,192
2016-03-13,98
2016-03-20,87
2016-03-27,88
2016-04-03,144
2016-04-10,1025
2016-04-17,230
2016-04-24,161
2016-05-01,161
2016-05-08,151
2016-05-15,166
2016-05-22,124
2016-05-29,111
2016-06-05,120
2016-06-12,103
2016-06-19,315
2016-06-26,224
2016-07-03,116
2016-07-10,271
2016-07-17,142
2016-07-24,134
2016-07-31,152
2016-08-07,191
2016-08-14,216
2016-08-21,197
2016-08-28,160
2016-09-04,144
2016-09-11,214
2016-09-18,113
2016-09-25,148
2016-10-02,188
2016-10-09,111
2016-10-16,132
2016-10-23,114
2016-10-30,161
2016-11-06,131
2016-11-13,173
2016-11-20,110
2016-11-27,333
2016-12-04,169
2016-12-11,162
2016-12-18,133
2016-12-25,265
2017-01-01,113
